Month,Revenue (EUR),Essential Packages,Premium Packages,Complete Packages,Developer Packages,Total Projects,Weekly Projects,Variable Costs (EUR),Fixed Costs (EUR),Team Costs (EUR),Total Costs (EUR),Gross Profit (EUR),Net Profit (EUR),Gross Margin (%),Net Margin (%),Avg Order Value (EUR)
1,2197,1,2,0,0,3,0.8,570,900,0,1470,1627,727,74.1,33.1,732
2,3495,2,3,0,0,5,1.2,910,900,0,1810,2585,1685,74.0,48.2,699
3,6093,2,4,1,0,7,1.8,1520,900,0,2420,4573,3673,75.1,60.3,870
4,6992,2,5,1,0,8,2.0,1750,900,800,3450,5242,3542,75.0,50.7,874
5,8290,3,6,1,0,10,2.5,2090,900,800,3790,6200,4500,74.8,54.3,829
6,10888,3,7,2,0,12,3.0,2700,900,800,4400,8188,6488,75.2,59.6,907
7,11787,3,8,2,0,13,3.2,2930,900,2000,5830,8857,5957,75.1,50.5,906
8,13085,4,9,2,0,15,3.8,3270,900,2000,6170,9815,6915,75.0,52.8,872
9,15683,4,10,3,0,17,4.2,3880,900,2000,6780,11803,8903,75.3,56.8,922
10,16582,4,11,3,0,18,4.5,4110,900,2000,7010,12472,9572,75.2,57.7,921
11,18680,5,11,4,0,20,5.0,4600,900,2000,7500,14080,11180,75.4,59.9,934
12,24679,5,11,4,1,21,5.2,6100,900,2000,9000,18579,15679,75.3,63.5,1175
